"state","Latitude","Longitude"
"AK","66.160507","-153.369141"
"AL","32.31823","-86.902298"
"AR","34.799999","-92.199997"
"AZ","34.048927","-111.093735"
"CA","36.778259","-119.417931"
"CO","39.113014","-105.358887"
"CT","41.599998","-72.699997"
"DC","38.905985","-77.033418"
"DE","39","-75.5"
"FL","27.994402","-81.760254"
"GA","33.247875","-83.441162"
"HI","19.741755","-155.844437"
"IA","42.032974","-93.581543"
"ID","44.068203","-114.742043"
"IL","40","-89"
"IN","40.273502","-86.126976"
"KS","38.5","-98"
"KY","37.839333","-84.27002"
"LA","30.39183","-92.329102"
"MA","42.407211","-71.382439"
"MD","39.045753","-76.641273"
"ME","45.367584","-68.972168"
"MI","44.182205","-84.506836"
"MN","46.39241","-94.63623"
"MO","38.573936","-92.60376"
"MS","33","-90"
"MT","46.96526","-109.533691"
"NC","35.782169","-80.793457"
"ND","47.650589","-100.437012"
"NE","41.5","-100"
"NH","44","-71.5"
"NJ","39.833851","-74.871826"
"NM","34.307144","-106.018066"
"NV","39.876019","-117.224121"
"NY","43","-75"
"OH","40.367474","-82.996216"
"OK","36.084621","-96.921387"
"OR","44","-120.5"
"PA","41.203323","-77.194527"
"RI","41.742325","-71.742332"
"SD","44.5","-100"
"SC","33.836082","-81.163727"
"TN","35.860119","-86.660156"
"TX","31","-100"
"UT","39.41922","-111.950684"
"VA","37.926868","-78.024902"
"VT","44","-72.699997"
"WA","47.751076","-120.740135"
"WI","44.5","-89.5"
"WV","39","-80.5"
"WY","43.07597","-107.290283"
